month,day,min,node,mechanism,user,rank,affiliation,net,client,old
10,18,856,CS3,password,yKW8wpWVzqNO,636,student,3549,1618,1
3,14,1244,CS3,password,936YxJxxDweLN,1000,student,UCPRIV,1618,1
10,20,1148,CS3,password,yW4GWojKGyoB,471,student,UCPRIV,1645,1
10,25,942,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,1653,1
5,24,356,CS5,password,NRV7Oj37oeLBM,262,student,174,1656,1
2,26,1310,CS5,password,9Q8xda8weoOv6,371,student,701,1662,1
6,11,1322,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1669,1
7,15,822,CS3,password,yW4GWojKGyoB,471,student,UCPRIV,1686,1
5,23,708,CS5,key,9wG89KmxNNjv,527,student,2828,1687,
9,29,836,CS5,password,r1DrvG3axowVM,394,student,UC-INTRA,1687,1
9,29,843,CS5,password,r1DrvG3axowVM,394,student,UC-INTRA,1693,1
9,18,531,CS7,password,y2BpKLORgN,44,alum,9584,1695,1
9,29,845,CS3,password,r1DrvG3axowVM,394,student,UC-INTRA,1695,1
5,24,360,CS3,password,NRV7Oj37oeLBM,262,student,174,1697,1
10,25,944,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,1702,1
10,8,720,CS5,password,9Q2peQ5zerL5Y,550,student,20057,1703,1
2,26,913,CS109,password,93nP2VBvlX73J,535,student,UCPRIV,1705,1
7,20,1197,CS5,password,r8XYq2VnGm15m,783,student,6461,1710,1
5,24,362,CS5,password,NRV7Oj37oeLBM,262,student,174,1719,1
7,18,330,CS30,key,JNNLwxzBpDw59,42,alum,7922,1720,
9,18,532,CS7,password,y2BpKLORgN,44,alum,9584,1722,1
4,21,904,CS109,password,93nP2VBvlX73J,535,student,UCPRIV,1724,1
12,1,1061,CS5,password,94La5Xwv8d8GW,258,student,UCPRIV,1727,1
12,1,1062,CS5,password,94La5Xwv8d8GW,258,student,UCPRIV,1729,1
12,1,1062,CS5,password,94La5Xwv8d8GW,258,student,UCPRIV,1732,1
5,24,365,CS4,password,NRV7Oj37oeLBM,262,student,174,1749,1
10,26,902,CS3,password,XObX4oO1Ol9B8,909,student,UCPRIV,1754,1
4,4,950,CS22,password,ydQyQvRvN,29,faculty,32027,1758,1
4,3,693,CS4,password,LOe3MaODdxLqr,620,student,6167,1791,1
12,8,1184,CS4,password,9DjB9NrKpYvKY,621,student,7018,1792,1
4,1,998,CS3,password,93VqmD1yqL4dP,649,alum,6167,1794,1
4,1,1005,CS4,password,93VqmD1yqL4dP,649,alum,6167,1801,1
4,1,1005,CS3,password,93VqmD1yqL4dP,649,alum,6167,1802,1
10,12,32,CS123,key,NyyLj4pdnRarb,658,student,3549,1807,
4,1,1009,CS5,password,93VqmD1yqL4dP,649,alum,6167,1807,1
5,12,1064,CS5,password,9Q2peQ5zerL5Y,550,student,20057,1812,1
9,29,867,CS3,password,r1DrvG3axowVM,394,student,UC-INTRA,1812,1
5,4,957,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1823,1
10,20,477,CS29,key,JNNLwxzBpDw59,42,alum,7922,1830,
11,4,1274,CS5,password,OBVG58rjYbpYM,804,student,7922,1830,1
10,25,960,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,1842,1
10,1,537,CS4,password,94La5Xwv8d8GW,258,student,UCPRIV,1858,1
4,19,158,CS4,password,NRV7Oj37oeLBM,262,student,174,1862,1
10,25,969,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,1870,1
7,21,700,CS3,password,yW4GWojKGyoB,471,student,3356,1875,1
8,14,194,CS30,key,JNNLwxzBpDw59,42,alum,7922,1883,
4,15,1380,CS109,password,93nP2VBvlX73J,535,student,7018,1884,1
5,4,968,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1889,1
8,23,946,CS123,password,NyyLj4pdnRarb,658,student,UCPRIV,1891,1
5,4,969,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1893,1
4,21,1083,CS30,password,94Y81JdJ4qXmW,745,student,UCPUB,1894,1
9,29,898,CS3,password,r1DrvG3axowVM,394,student,UC-INTRA,1914,1
5,16,1422,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,1914,1
9,29,900,CS5,password,r1DrvG3axowVM,394,student,UC-INTRA,1917,1
9,29,902,CS3,password,r1DrvG3axowVM,394,student,UC-INTRA,1921,1
9,5,736,CS84,password,NyQQBJYrxKOwq,305,student,7018,1925,1
4,5,817,CS4,password,r7RyRzQORn7Wv,573,student,20057,1943,1
11,19,758,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,1950,1
5,11,1037,CS3,password,XObX4oO1Ol9B8,909,student,UCPRIV,1950,1
5,4,827,CS4,password,9QRr8qqJzPG66,23,student,701,1954,1
10,21,674,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,1970,1
7,20,1273,CS5,password,r8XYq2VnGm15m,783,student,6461,1986,1
5,16,1424,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,1986,1
5,16,696,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,1987,1
5,11,1308,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,1988,1
5,24,369,CS4,password,NRV7Oj37oeLBM,262,student,174,1998,1
10,10,293,CS84,password,Rlgx98e93WmVb,760,affiliate,4796,2009,1
11,26,1113,CS30,password,94Y81JdJ4qXmW,745,student,6128,2015,1
6,11,1204,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,2022,1
12,20,1276,CS3,password,93g8J72eDYey6,482,affiliate,17974,2049,1
4,26,1270,CS4,password,9eKmoYovVrby,57,staff,7922,2050,1
5,24,370,CS4,password,NRV7Oj37oeLBM,262,student,174,2051,1
4,24,992,CS22,password,ydQyQvRvN,29,faculty,20057,2053,1
10,5,22,CS123,password,NyyLj4pdnRarb,658,student,3549,2059,1
10,5,22,CS123,key,NyyLj4pdnRarb,658,student,3549,2060,0
10,16,916,CS5,password,XoVoBRWR34lPD,964,student,UC-INTRA,2060,1
4,26,1217,CS4,password,9eKmoYovVrby,57,staff,7922,2064,1
6,1,1279,CS3,password,9eKmoYovVrby,57,staff,7922,2065,1
10,14,426,CS3,password,93g8J72eDYey6,482,affiliate,45705,2069,1
5,2,1311,CS44,password,94ZLXOZ8Z5eaP,316,student,UCPUB,2084,1
5,19,1075,CS3,password,9QRr8qqJzPG66,23,student,6167,2085,1
8,2,1042,CS5,password,rM5jmzmmX38MD,500,affiliate,12083,2085,1
6,5,903,CS5,password,NRV7Oj37oeLBM,262,student,174,2089,1
6,5,903,CS5,password,NRV7Oj37oeLBM,262,student,174,2090,1
5,19,1134,CS4,password,9QRr8qqJzPG66,23,student,6167,2097,1
8,15,1300,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,2100,1
5,19,1061,CS3,password,9QRr8qqJzPG66,23,student,6167,2103,1
5,19,1133,CS4,password,9QRr8qqJzPG66,23,student,6167,2110,1
12,25,498,CS3,password,93g8J72eDYey6,482,affiliate,45705,2118,1
6,11,1284,CS3,password,9DjB9NrKpYvKY,621,student,7018,2119,1
5,12,1191,CS13,password,yW4GWojKGyoB,471,student,UCPRIV,2122,1
12,1,1006,CS3,password,yW4GWojKGyoB,471,student,7922,2141,1
6,5,906,CS3,password,NRV7Oj37oeLBM,262,student,174,2147,1
6,5,906,CS3,password,NRV7Oj37oeLBM,262,student,174,2148,1
5,26,1422,CS12,password,yW4GWojKGyoB,471,student,UCPUB,2170,1
6,5,910,CS3,password,NRV7Oj37oeLBM,262,student,174,2193,1
4,7,1199,CS3,password,93RXevddgZn1y,231,student,6167,2209,1
11,7,1064,CS29,key,JNNLwxzBpDw59,42,alum,7922,2210,
6,5,911,CS3,password,NRV7Oj37oeLBM,262,student,174,2213,1
4,7,1199,CS3,password,93RXevddgZn1y,231,student,6167,2219,1
4,7,1199,CS3,password,93RXevddgZn1y,231,student,6167,2222,1
11,26,667,CS30,password,94Y81JdJ4qXmW,745,student,6128,2247,1
4,12,449,CS3,password,yoKaXreBO2l,21,alum,31790,2261,1
6,5,916,CS3,password,NRV7Oj37oeLBM,262,student,174,2264,1
6,5,916,CS3,password,NRV7Oj37oeLBM,262,student,174,2266,1
11,30,492,CS3,password,93g8J72eDYey6,482,affiliate,45705,2275,1
10,25,1002,CS59,password,z1zl5v2JDzmW,637,student,7922,2285,1
7,20,1116,CS5,password,r8XYq2VnGm15m,783,student,6461,2296,1
11,30,1055,CS3,password,94La5Xwv8d8GW,258,student,UCPRIV,2306,1
11,30,1055,CS3,password,94La5Xwv8d8GW,258,student,UCPRIV,2307,1
10,25,1003,CS59,password,z1zl5v2JDzmW,637,student,7922,2316,1
4,20,1095,CS3,password,XObX4oO1Ol9B8,909,student,UCPRIV,2326,1
11,19,879,CS4,password,9JvRv2ZrBQ4oV,239,student,26231,2368,1
8,12,1387,CS4,password,y9eZymz2MxaB,688,student,7018,2379,1
3,4,662,CS4,password,z1zl5v2JDzmW,637,student,UCPRIV,2381,1
11,18,785,CS4,password,rMq11jJxyaGa3,210,student,19024,2387,1
6,6,1334,CS4,key,y2yNbZ5v9r,629,student,UCPRIV,2387,0
3,4,662,CS4,password,z1zl5v2JDzmW,637,student,UCPRIV,2387,1
3,4,662,CS4,password,z1zl5v2JDzmW,637,student,UCPRIV,2391,1
5,22,1169,CS5,password,NRV7Oj37oeLBM,262,student,174,2397,1
5,4,1069,CS5,key,JNNLwxzBpDw59,42,alum,7922,2413,
8,7,1196,CS3,password,9Kbng9JwXBRWJ,814,student,6167,2417,1
8,7,1225,CS4,password,9Kbng9JwXBRWJ,814,student,6167,2417,1
6,12,1373,CS59,password,z1zl5v2JDzmW,637,student,5607,2428,1
4,24,1045,CS3,key,9wG89KmxNNjv,527,student,2828,2449,0
12,20,890,CS3,password,DKRXpVG5xWd5,587,student,7922,2453,1
7,22,540,CS5,password,y2GY1ZKg82aRL,103,alum,7922,2454,1
3,4,665,CS3,password,z1zl5v2JDzmW,637,student,UCPRIV,2454,1
3,4,666,CS3,password,z1zl5v2JDzmW,637,student,UCPRIV,2458,1
12,5,1099,CS4,password,9JYWGK1Y6R4y6,317,student,UCPRIV,2460,1
9,5,688,CS84,password,NyQQBJYrxKOwq,305,student,7018,2461,1
12,5,1099,CS4,password,9JYWGK1Y6R4y6,317,student,UCPRIV,2461,1
8,11,1178,CS5,password,9JP9K6B2ppm66,74,former_student,3452,2486,1
5,26,1263,CS3,password,XObX4oO1Ol9B8,909,student,UCPRIV,2489,1
5,12,20,CS30,password,94Y81JdJ4qXmW,745,student,UCPUB,2489,1
7,29,867,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,2537,1
11,16,713,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,2548,1
12,5,1100,CS4,password,9JYWGK1Y6R4y6,317,student,UCPRIV,2549,1
6,21,888,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,2552,1
8,11,1120,CS3,password,9JP9K6B2ppm66,74,former_student,3452,2554,1
6,21,889,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,2555,1
5,2,1354,CS44,password,94ZLXOZ8Z5eaP,316,student,UCPUB,2557,1
11,4,526,CS123,key,NyyLj4pdnRarb,658,student,7922,2565,0
11,4,526,CS123,key,NyyLj4pdnRarb,658,student,7922,2571,
4,14,922,CS30,password,94Y81JdJ4qXmW,745,student,UCPUB,2578,1
10,8,882,CS4,password,9Q2peQ5zerL5Y,550,student,20057,2587,1
11,19,742,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,2604,1
10,25,1041,CS59,password,z1zl5v2JDzmW,637,student,7922,2622,1
7,24,690,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,2622,1
11,19,801,CS36,password,XObX4oO1Ol9B8,909,student,7922,2623,1
11,30,657,CS4,password,rMq11jJxyaGa3,210,student,19024,2623,1
7,24,691,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,2625,1
11,16,654,CS9,key,94wRPPamjR5xy,8,faculty,7018,2630,0
10,25,1044,CS59,password,z1zl5v2JDzmW,637,student,7922,2631,1
11,19,954,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,2631,1
7,26,330,CS30,key,JNNLwxzBpDw59,42,alum,7922,2632,0
9,30,997,CS3,password,9QRr8qqJzPG66,23,student,701,2634,1
11,16,655,CS9,key,94wRPPamjR5xy,8,faculty,7018,2639,0
11,16,656,CS9,key,94wRPPamjR5xy,8,faculty,7018,2641,
11,16,656,CS9,key,94wRPPamjR5xy,8,faculty,7018,2647,0
11,4,530,CS123,key,NyyLj4pdnRarb,658,student,7922,2647,0
11,4,530,CS123,key,NyyLj4pdnRarb,658,student,7922,2648,0
11,16,657,CS9,key,94wRPPamjR5xy,8,faculty,7018,2650,0
11,16,657,CS9,key,94wRPPamjR5xy,8,faculty,7018,2651,
11,16,658,CS9,key,94wRPPamjR5xy,8,faculty,7018,2652,0
5,25,701,CS4,password,9QRr8qqJzPG66,23,student,701,2653,1
11,16,658,CS9,key,94wRPPamjR5xy,8,faculty,7018,2653,0
11,16,659,CS9,key,94wRPPamjR5xy,8,faculty,7018,2654,0
11,16,659,CS9,key,94wRPPamjR5xy,8,faculty,7018,2655,0
11,4,531,CS123,key,NyyLj4pdnRarb,658,student,7922,2657,0
3,21,1131,CS4,password,9DOKn11g1WaeP,885,academic,6167,2659,1
11,16,660,CS9,key,94wRPPamjR5xy,8,faculty,7018,2660,0
11,16,660,CS9,key,94wRPPamjR5xy,8,faculty,7018,2661,
11,16,661,CS9,key,94wRPPamjR5xy,8,faculty,7018,2666,0
11,16,661,CS9,key,94wRPPamjR5xy,8,faculty,7018,2667,0
10,15,1193,CS12,password,LDm5dBLMnMZW,728,student,174,2668,1
11,16,662,CS9,key,94wRPPamjR5xy,8,faculty,7018,2668,0
11,16,662,CS9,key,94wRPPamjR5xy,8,faculty,7018,2669,0
11,16,663,CS9,key,94wRPPamjR5xy,8,faculty,7018,2670,0
11,16,663,CS9,key,94wRPPamjR5xy,8,faculty,7018,2672,0
4,2,932,CS4,password,LOe3MaODdxLqr,620,student,6167,2677,1
4,6,788,CS4,key,9wG89KmxNNjv,527,student,2828,2679,0
11,16,664,CS9,key,94wRPPamjR5xy,8,faculty,7018,2685,0
11,16,664,CS9,key,94wRPPamjR5xy,8,faculty,7018,2686,0
11,16,665,CS9,key,94wRPPamjR5xy,8,faculty,7018,2689,0
11,16,666,CS9,key,94wRPPamjR5xy,8,faculty,7018,2691,
11,16,666,CS9,key,94wRPPamjR5xy,8,faculty,7018,2696,0
11,16,667,CS9,key,94wRPPamjR5xy,8,faculty,7018,2697,0
11,16,667,CS9,key,94wRPPamjR5xy,8,faculty,7018,2699,0
10,3,541,CS3,password,9J7mWdyGN9meY,580,student,UCPUB,2700,1
5,2,1327,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,2701,1
11,16,668,CS9,key,94wRPPamjR5xy,8,faculty,7018,2718,
5,31,1140,CS4,password,z1zl5v2JDzmW,637,student,UCPRIV,2719,1
8,31,855,CS4,password,9QRr8qqJzPG66,23,student,701,2720,1
11,30,1064,CS5,password,94La5Xwv8d8GW,258,student,UCPRIV,2720,1
4,10,979,CS3,password,y2yNbZ5v9r,629,student,UCPUB,2723,1
4,10,979,CS3,key,y2yNbZ5v9r,629,student,UCPUB,2727,0
11,30,813,CS4,password,94La5Xwv8d8GW,258,student,UCPRIV,2731,1
11,30,1066,CS4,password,94La5Xwv8d8GW,258,student,UCPRIV,2733,1
10,20,1163,CS3,password,yW4GWojKGyoB,471,student,UCPRIV,2735,1
11,16,668,CS9,key,94wRPPamjR5xy,8,faculty,7018,2738,0
11,16,669,CS9,key,94wRPPamjR5xy,8,faculty,7018,2740,0
11,16,669,CS9,key,94wRPPamjR5xy,8,faculty,7018,2742,0
11,16,670,CS9,key,94wRPPamjR5xy,8,faculty,7018,2743,0
5,17,47,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,2745,1
4,20,908,CS5,password,XObX4oO1Ol9B8,909,student,UCPRIV,2749,1
11,16,670,CS9,key,94wRPPamjR5xy,8,faculty,7018,2750,0
4,20,909,CS3,password,XObX4oO1Ol9B8,909,student,UCPRIV,2750,1
11,16,671,CS9,key,94wRPPamjR5xy,8,faculty,7018,2754,0
11,16,671,CS9,key,94wRPPamjR5xy,8,faculty,7018,2756,0
11,16,672,CS9,key,94wRPPamjR5xy,8,faculty,7018,2759,0
11,19,980,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,2760,1
7,26,1102,CS4,password,9JP9K6B2ppm66,74,former_student,3452,2774,1
5,7,864,CS44,password,94ZLXOZ8Z5eaP,316,student,UCPUB,2776,1
11,16,672,CS9,key,94wRPPamjR5xy,8,faculty,7018,2787,0
10,25,1075,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,2789,1
8,2,975,CS3,password,93Vrn2qjvdV43,257,student,8002,2791,1
11,16,673,CS9,key,94wRPPamjR5xy,8,faculty,7018,2795,0
11,16,673,CS9,key,94wRPPamjR5xy,8,faculty,7018,2796,0
11,16,674,CS9,key,94wRPPamjR5xy,8,faculty,7018,2797,0
11,28,1223,CS3,password,XObX4oO1Ol9B8,909,student,3549,2804,1
10,25,1080,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,2826,1
10,4,1382,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,2828,1
11,16,675,CS9,key,94wRPPamjR5xy,8,faculty,7018,2829,0
11,16,675,CS9,key,94wRPPamjR5xy,8,faculty,7018,2831,
11,16,676,CS9,key,94wRPPamjR5xy,8,faculty,7018,2833,0
11,16,676,CS9,key,94wRPPamjR5xy,8,faculty,7018,2834,0
11,16,677,CS9,key,94wRPPamjR5xy,8,faculty,7018,2835,0
11,16,677,CS9,key,94wRPPamjR5xy,8,faculty,7018,2836,0
11,16,678,CS9,key,94wRPPamjR5xy,8,faculty,7018,2837,0
11,16,678,CS9,key,94wRPPamjR5xy,8,faculty,7018,2838,0
11,16,679,CS9,key,94wRPPamjR5xy,8,faculty,7018,2840,0
10,7,1398,CS3,password,9JoMVbnw2JB9N,376,student,6079,2843,1
11,16,679,CS9,key,94wRPPamjR5xy,8,faculty,7018,2843,0
11,30,1076,CS5,password,94La5Xwv8d8GW,258,student,UCPRIV,2843,1
11,16,680,CS9,key,94wRPPamjR5xy,8,faculty,7018,2844,0
11,16,680,CS9,key,94wRPPamjR5xy,8,faculty,7018,2849,0
11,16,681,CS9,key,94wRPPamjR5xy,8,faculty,7018,2850,0
11,16,681,CS9,key,94wRPPamjR5xy,8,faculty,7018,2855,0
11,16,682,CS9,key,94wRPPamjR5xy,8,faculty,7018,2856,0
11,16,682,CS9,key,94wRPPamjR5xy,8,faculty,7018,2857,0
11,16,683,CS9,key,94wRPPamjR5xy,8,faculty,7018,2858,0
11,16,684,CS9,key,94wRPPamjR5xy,8,faculty,7018,2860,0
5,19,1418,CS5,password,9J5p5dDoVQb9N,817,,7018,2861,1
11,16,684,CS9,key,94wRPPamjR5xy,8,faculty,7018,2862,0
5,8,600,CS3,password,XObX4oO1Ol9B8,909,student,UCPRIV,2862,1
11,30,1077,CS5,password,94La5Xwv8d8GW,258,student,UCPRIV,2862,1
11,16,685,CS9,key,94wRPPamjR5xy,8,faculty,7018,2865,0
