hid,chunk,has_space
32L724R85L73LS3ARDP572E97TLPIX,"WorkbarÂ Cambridge â€“ $350 / month full-time open workspace, $600 / month dedicated desk â€“ One of Workbarâ€™s two locations is in Central Square. Options for part-time access and dedicated offices as well.",1
3LG268AV38TCH0H38M33RIGWGI2ER5,"LearnLaunch CampusÂ â€“ unlisted pricing for shared space, $400 / month private desk â€“ Edtech coworking & office space in the Back Bay, close to the Arlington T station. Additional options for larger teams.",1
32ZCLEW0BZ7ZG3NG9VA5J3T9K8APJ9,"HELLO! Weâ€™re glad you found us. Commoncove was recently launched as a brand of cowork spaces for suburban and near urban workers. Our first location, at Chelseaâ€™s Admiralâ€™s Hill Marina, is Greater Bostonâ€™s first coworking space on the waterfront.Â  We provide the ideal â€œhome officeâ€ù by being close to home but not in your home â€“ a dynamic workspace with both dedicated and floating desks, shared worktables, phone booths, meeting rooms â€“ all just steps from the harbor.Â  We offer flexible, affordable, memberships to accommodate your particular schedule and budget.",1
3ZCC2DXSD7RJK6AGMI7R6H191HMYY6,"â€œIt just feels right and good to impart this knowledge and to help people transform industries,â€ù he continues. â€œBy choosing this specific vertical focus, we think we have more value to add and better odds at creating financial returns than a general accelerator. Weâ€™re also more likely to get [the] best companies, due to that specificity.â€ù",0
3CESM1J3EIQDCH5A1YUB2TW0RZTW65,"Virtualmin is built on top of, and integrated with, Webmin. Webmin is the world's most popular Linux/UNIX systems management UI, with over three million downloads per year. Webmin sets Virtualmin apart from other control panels by providing a comprehensive systems management UI, in addition to virtual web hosting capabilities. Virtualmin is for serious system administrators who expect more than just a flashy user interface over the LAMP stack.",0
3S37Y8CWI8NZXU1WIA1W5VCMV8NW4K,"For example, rather than backing LinkedIn â€“ which at its core is a SaaS recruiting platform â€“ Acceleprise will look to back the next generation of companies like Spiceworks (â€œLinkedIn/Facebook for IT workersâ€ù), GitHub (developers), Edomo (educators), or Practice Fusion (doctors). Perhaps the most successful vertical SaaS company is Veeva Systems, a seven-year-old, life sciences-focused company which now has a $3.1 billion public market cap.",0
3OJX0UFJ0ZUN2WI345IM4F25WKQU9F,"Contact us below to schedule a tour. We are available Monday-Friday,Â 9:00AM-4:00PM",0
336OE47KI27YR7KB262JELCZ8SKVWV,"Coworking is a concept created to satisfy the needsâ€¨ of millions of mobile knowledge workers (workers who â€œthinkâ€ù for a living.)â€¨ Many of these knowledge workers have suddenly found themselves untethered to a desk and thus, are free to work where, when and how they choose. Itâ€™s great when they can take advantage of their technology driven freedom, but not so great if they find themselves working at home or alone and missing out on the social interaction, energy, excitement and fun that coworkers bring.",0
3P7RGTLO6E0N4JNW2XSKUN4R0BAKAN,"We offer a full range of work solutions, including: private offices, open collaboration space, dedicated desks, virtual office setup, and conference room rental options. And weâ€™re flexible to how you work best; agreements range from one hour to long-term monthly memberships.",1
3LCXHSGDLTTOIFHGNB38HSLS2KLEST,"Cove â€“ $89 / month nights & weekends access, $179 / month unlimited access â€“ InÂ the same building as Barismo Coffee in Kendall Square (at Voltage Cafeâ€™s old location), Cove is a cozy coworking space with all theÂ perks of a high-quality coffee shop. Membership comes with an app that connects you with the other members and tracks real-time availability in the space.",1
3VQTAXTYN386QPX02PWIVLXVKKTUBP,Current Idea Space Members enjoy a set number of conference room hours included in each standard monthly Membership.Â  Need more conference room time?Â  No problem.Â  Add a few extra conference room hours to your monthly plan at a reduced rate.,1
3E24UO25QZD578W8AC31LZJEOXV6O4,Prestigious Kendall Square Business Address Â  Â Â Â Â Â Â FREE Shuttle to KENDALL/MIT Station.,0
356ZPKYPUH4PBSIFVVB8TQ8XXCJYPC,"For years Jon Olinto, co-founder of b.good food, worked out of Starbucks locations as he travelled the country visiting his dozens of restaurants, seven of which are in Boston, rather than returning to headquarters in Malden for calls or meetings. But a few years ago he decided it was a lot easier just to head to Newbury Street.",0
3LG268AV38TCH0H38M33RIGWGI2REI,"Â© Copyright 2017 PandoMedia Inc.",0
3INZSNUD80D1LU7HIASXUFYHAKW9DL,"Who are they, you ask? Web designers, journalists, realtors, start-ups, graphic designers, architects, and marketers extraordinaire â€“ you name it. It can be a moving target, but whatever the day youâ€™ll always be rubbing elbows (figuratively) with independent, open-minded people like yourself.",0
3IZPORCT1FWO1A85YNB9CLD98YURHY,"Unlimited access, most flexible",0
38LRF35D5LJ1NUTNNWHCD2ZJWSH3U8,"Virtualmin gathers a wide variety of system metrics and provides charting capabilities, as well as raw data export for importing into spreadsheets or other data processing tools.",0
3DA79LNS59IMNHEYNRR286DHDEA3TH,"Founders Room coworkers get discounted rates for our event space, reduced monthly memberships for additional teammates, and more.",1
39AYGO6AFF7NPNWW9X3O6AJ9YNQ6NP,Article by Evona W. Niewiadomska,0
3W31J70BASJBXYKUMBOB0IUF0EVKCP,"Cardamone is targeting two to three classes per year of five to 10 companies each, with the goal of investing in 60 companies across three years. Applications for the first SF class opened today with the target of a mid-August start date.",0
3X2YVV51PURI5V4DVSIU7X5JJODW17,"As the co-working community in Boston matures, there is a move afoot to organize. Last year about a dozen co-working spaces formed The Boston Coworking Alliance in an effort to keep track of what's going on in the co-working community. Members include Artisan's Asylum, a shared fabrication center in Somerville and one of the alliance's founders; the Cambridge Innovation Center, considered the grandfather of local co-working; and â€œthe purposefully smallâ€ù Plug, the first U.S. location of a Brazilian co-working enterprise.",1
3TCFMTM8HEBWTF66H8TNJQPUFHJ12V,International CallingÂ Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â FREE NGIN & Community Events,0
30ZKOOGW2WTLYI1AUNM2P88SR5B1A2,"Cove â€“ $89 / month for 4 hours per day, $249 / month unlimited access â€“ ThisÂ second space by Cove in Union Square is part of a coworking network with locations in Washington, D.C. and a growing number of Boston locations. Cove coworking membership comes with an app that connects you with the other members and tracks real-time availability in the space.",1
3RZS0FBRWKXC8PHAZ3TJWZGEUO1PCV,"Full: $350/monthUse of open workspaces",1
3BC9H1KCYUZFV1FG7HP3LKGTQ9MYW7,"Make Shift Boston - A cooperative workspace of diverse working artists,  activists, and creative people from across disciplines. We are also a  gathering, exhibition, and community space. In all these capacities, we  strive to support social justice activism, creative collaboration,  solidarity, and the sustainability of values-driven businesses. We seek  to create a space that is safe and liberating for all people. As artists  and creatives committed to social justice, we live in radical, loving  opposition and resistance to the forces that dehumanize us all. (site)",1
3BDORL6HKK0XK2XPCVX81UGTV6PRCP,"With a list of benefits far beyond the eight mentioned here, coworking spaces are the new coffee shops for the innovation economy. They offer a place to work for the day, alongside a network and community that can support your growing business. Most coworking spaces offer resources that Starbucks simply can't give you, including: fireside chats, mentoring, and networking mixers. ",1
39WICJI5ATFI9TNXTJGKUUEYYAW3ZX,"Location:Â  SOWAÂ (South of Washington Street) between Harrison Avenue and Albany Streets, walking distance from the Silver Line, Broadway (red line) and New England Medical (orange line) T stops.Â  Parking available for $15/day.",0
3TZDZ3Y0JST7TZR52H82TDX8LNT19N,"â€œI am human once again,â€ù exclaimed Hanson, standing in the kitchen area of the 8thÂ floor of WeWork, a shared office space business with more than 100 locations around the world soon to open two more buildings â€” in Boston and Cambridge.Â â€œIt's so light, sometimes I can't believe that all these people are really working.â€ù",1
3PMR2DOWOOO5KBMCM9ENFVZ9BBK45C,Check out our Dedicated Options,0
3XH7ZM9YX2HVM4QM0BNHZ4FLPLMR98,"NMotion has made their home in FUSE Coworking space since their beginning.Â When Fuse moved to a new location, expanding their total space and adding more conference rooms and private office space, NMotion moved along with them.",1
3W1K7D6QSB4NCORA8CVQCDCAM28BZV,"So thatâ€™s the roundup! For updates on this and other resources, follow us on twitter or on our new LinkedIn page.",0
3I7KR83SNA09Z0DRAREKYST7UTSK98,"Sally Jacobs worked as a reporter for the Boston Globe for over 25 years and is the author of ""The Other Barack,"" a biography of President Obama's father. A newcomer to the soloist community, she now writes for a variety of publications. She can be reached via email at sallyhjacobs@gmail.com. She tweets @sallyhjacobs.",0
3ULIZ0H1VASOSCPTZRVLHXS6ZRA15W,>> Next Page: Coworking Spaces in Cambridge,0
307L9TDWJYFOS49EQV5QZ77POWNN3Z,"Workbar has everything your changing and growing company needs: add employees, change your level of access, or move within the Workbar Network. Whether you are a solopreneur or part of a big team, weâ€™ve got your business solution.",1
3KVQ0UJWPX8HTD5WWFK6ANI0V4IW5P,On- site Resident Leader,0
32TZXEA1OL76WTLTLMCBC5MSZVF41U,"Location:Â 222 3rd Street, 4th Floor American Twine Building, Cambridge, MA 02141",0
37VUR2VJ6AC9RXY8E1ITV3YGR8W1C4,Want to know more about our community here at Impact Hub Boston? Want an inside view of what weâ€™re doing or what our members are doing? Check out our blog for more information about our #HubLifeRhythms. ,0
3M4KL7H8KVAKBGP74A5Q9366VML16C,"Greentown Labs is devoted to cleantech startups. Their focus is on hardware,Â providing prototyping space, shared machine shop tools, networking opportunities, and on-site seminars to support the growth of their entrepreneurs and startups.",1
34O39PNDK6VEAX5JYV1DQAABDLPRBI,"Your Workbar membership is as flexible as you are. As your business grows, changes or moves, you may switch your membership level or location at any time. No matter how or where you choose to work, you have access to Workbarâ€™s Network of spaces, innovative events, and community of 800+ friendly and collaborative members!",1
3JYPJ2TAYIVJB11KQ5JK451HR1TPF6,"Located in a historic brick and beam building directly across from South Station, Workbar Boston has a comfortable vibe with a mix of open areas, offices and quiet nooks. This is the original Workbar location and the first coworking space in Boston! Workbar Boston hosts many events and activities, so you wonâ€™t have to go far to connect with fellow members and the Boston startup community.",1
306996CF6W7QHS6201MYKJSY9NW1BX,On-site gym (Coming Soon),0
3G4VVJO6PZ3URNTYRGAHKITMZXAPK8,"By focusing on specific industry domains, and backing entrepreneurs with practical experience in these categories, Cardamone believes Acceleprise can gain a critical edge in the market. Itâ€™s a thesis that has found some advocates in the traditional VC realm as well.",0
3XU80RHWHZ3NOSIC84VDA3TVBFP447,"Workbar Boston â€“ $350 / month full-time open workspace, $400 / month dedicated deskÂ â€“ Workbarâ€™s original location, just outside of South Station. In addition to open workspace and dedicated desks, this location has private offices for teams of 2-6 available. Workbar has additional spaces within Staples stores in Brighton, Norwood, and Danvers.",1
3PZDSVZ3J549A0SIQ9A99CZV2WJN4K,More Info?Â  Contact southendworklounge@gmail.comÂ Â ,0
30QQTY5GMK7JODUAP8K2QJBZ1U2U73,"Terms:Â Monthly,Â dailyÂ orÂ hourly",0
3RBI0I35XEQI43DSXXE1GN5WSGS3Y6,"Workbar Hubs are coworking spaces in Boston, Cambridge, Somerville, and Arlington (coming soon) that serve as the focal point of the Workbar Network. Workbar Boston, Workbar Cambridge, Workbar Union, and Workbar ArlingtonÂ provide you with a variety of productive environments for every work style, and a full schedule of events to keep you connected professionally and socially.",1
389A2A304O59K8DQIIETHYF6MGPC0B,FedEx boxes on street,0
3MZ3TAMYTLAOX5JP45TUCXEO8B9RIR,"Version 5 of Virtualmin includes the powerful and fast new file manager called Filemin. Makes use of HTML5 and JavaScript features to provide a fast and friendly file manager and text editor, and deprecates the old Java applet File Manager.",0
3KA7IJSNW6STYKP4L3XOLFAWC31PBO,Dedicated community manager and regular programming,0
3BKZLF990ZMAB4JUV8QXTVY7285YQ3,"The Software Package Updates module lets you know when new packages are available and makes it easy and quick to update your system with the latest security and bugfix releases. Software Package Updates supports apt-get on Ubuntu and Debian systems, as well as yum on RHEL and CentOS systems.",0
3D3B8GE892EAARA7NJJSU9F6O3YP9E,"Our spaces are available to rent before 8AM or after 7PM Monday through Friday, or anytime during the weekends.",0
3PEG1BH7AEESNTSO8BSGPYOXITVKBI,"James has worn the hats of most real estate development disciplines, though the best fit was likely leading marketing & sales efforts for a design-driven, forward-thinking development group converting industrial mill buildings into live/work lofts.",0
3HO4MYYR12B0KDG56YFAK5B36JIU64,"â€œThey are building with people wearing sneakers, no hard hats, no glasses, no safety training. It's unconscionable,â€ù said Brian Doherty, general agent of the city's Building & Construction Trades Council of the Metropolitan District.",0
3PKVGQTFIH7AN5YU8NFXYL8CYU7YR4,"Evan Falchuk, founder of the United Independent Party and a 2014 candidate for Massachusetts governor, has tried many office arrangements in his years working as an entrepreneur and politician. But in the end, he has found that the relatively serene Oficio suits his needs best. Falchuk rents a private office and when political work heats up he just adds a few more desks to support extra staff.",1
38G0E1M85MSLZ3V676NIWXR2NC9VUW,"Printers, fax, internet, conference rooms, private phone booths, coffee & snacks",1
3ODOP6T3AS7DLE3P4QCPHOWXR1T42B,"Details:Â Rent includes Desk and Chair, Wifi  Internet, Conference Room, JavaScript Prototyping Room,  Printer/Scanner/Copier, White Boards, Event Space with a 150 person  capacity, aPA  System, Projector & screen, Podium, Kitchen space with  refrigerator, Free Coffee, Shower and a Lounge area with Sega Genesis  and Atari 2600. Parking is available in the building's oversized alley,  across the street in a garage, or on Summer st metered.",1
3FHTJGYT8NNPP1XF1PP2MQ1TSGTPG5,"Lili has a rich history in fortune telling and floor tile modeling. Â As she hones her skills for both, she often wonders how she can combine the two to make a truly unique experience for her clients.",0
3R6RZGK0XFZ2GCFBH7K7ZIXFJ0KYVX,Configure monitoring of systems and services in an easy to use UI. The System and Server Status module provides the ability to monitor both local and remote services and setup text or email alerts for dozens of event types.,0
368IUKXGA5VNS889PCGGAZO4Y2R6PL,"â€œThe majority of our host locations are independent businesses who have never had the opportunity to network from within their own office space before. Since we know firsthand how powerful a collaborative community can be, itâ€™s important for us to make synergistic matches between businesses that catalyze this type of collaboration. Powered by coworking, weâ€™re taking what we know works and building a dynamic network of spaces across the city,â€ù describes Anne O'Loughlin, the Director of Operations and Strategy at Workbar and who is spearheading the OuterSpaces program.",1
3126F2F5F8QR5N1OVUZEMNGHF0EPEO,"Your team deserves sunlight! Nearly all of ourÂ private offices and open desks offer floor-to-ceiling windows with panoramic views of our city, including the State House and the Charles River. Surrounded by great restaurants, shopping, and night life, weâ€™re ideal for entrepreneurs who live and breathe Boston. Check us out.",1
3J06WJ78HN7LCIK6CWXNSJTL1JIVVL,"WorkShop, Brookline â€“ $400 / month full-time membership, lots ofÂ by-the-day options â€“ This â€œmicro-coworkingâ€ù space off Beacon StreetÂ is for independent professionals, solopreneurs, and telecommuters.",1
3D17ECOUOEILEX2PL87S20UMLVJ136,Not Required:Â Â No notice to leave- just tell us at the end of the month that you're moving out. Â No security deposit required.Â  No insurance certificate required.,0
3P520RYKCHT419GR1F55SZX3AO7U5O,"The new default theme presents systems data in a clear, concise, and beautiful form, making it easier to read and interpret, at a glance.",0
3K3IX1W4S6EOFAKCFPXSQ4QQULGPAT,*Special pricing on multi-month menberships avaiable,0
3VGET1QSZ0MWGHJFK8Z387WWMADW74,"January 1st marked the opening for applications to this summerâ€™s NMotion program.They have also brought a new face to the team withÂ Beth McKeon as the new Program Manager.Â On top of that, they have moved into the brand new FUSEÂ Coworking space.",0
39TX062QX1BT4YNIS1SZX9YNQAY3X0,"FULL:  $350/month, 24/7 access",0
37SQU136V7BP4UOAY4T9E7FPNB511E,Check out this great video about coworking from Turnstone!,0
33BFF6QPI1YEFYISIWWDVQKGH8S3W7,"Virtualmin is the most powerful and flexible web hosting control panel, bar none. With a comprehensive command line interface, full API, sysadmin-friendly defaults, auditing, unmatched security features, and the best support in the industry, you can be confident Virtualmin provides the capabilities you need, the professional look and feel your customers demand, and the confidence that Virtualmin will be here for you for years to come.",0
34HEO7RUG6H9RN0RSH1HVZQ5V34RAN,T:Â Â 617-401-3300E:Â makemec3@cic.us,0
3YLTXLH3DFT3PXSQLV7K7QDU7G6PH4,"â€œWhen we first started, people could climb the wall to the office space, but that didn't seem so safe,â€ù said Abby Taylor, events and partnership manager. â€œNow people can look out on the action in the gym and seeing all that chaos keeps them going and helps them to think.â€ù",0
382GHPVPHSE26WZ88QQU0Y1PXFT43M,"Super-zen Oficio on Newbury Street will make your daily coworking feel like a relaxing spa experience. Like most office spaces, Oficio has taken on the personality of its gallery neighbors and not only holds art receptions, they have rotating work from various artists in support of the local community. ",1
39O6Z4JLX2KDG7P1CBY5G4Q6HUQVXO,"Letâ€™s grow our businesses together. As a founding member, youâ€™ll have the opportunity to help build and shape a collaborative community youâ€™ll be proud to be a part of â€“ for as little as $20 a month and $2 an hour.Â Â Contact us for more details",0
337F8MIIMZ06P40BP38BY03IU3940R,"Webmin is the most popular web-based systems management UI for Linux, UNIX, and Mac OS X systems. With 3.5 million downloads each year, Webmin makes management and delegation of most common system administration tasks available in a friendly web-based UI. Webmin manages users and groups, databases, BIND, Apache, Postfix, Sendmail, QMail, backups, firewalls, monitoring and alerts, and much more.",0
3GKAWYFRAPGMDHNOZZOUG5YWFODPDV,UPS post office on Waterman Street,0
3VJ4PFXFJ3U17FS8WBWM0ADP228UAU,"â€œNot all vertical SaaS companies will come from typical Silicon Valley founders,â€ù he says. â€œWe think they will come from within traditional industry. Weâ€™re looking for entrepreneurially minded people within incumbent companies that have deep industry knowledge, but not necessary the tech skills or experience scaling a business. Itâ€™s way harder to learn the nuances of the oil and gas industry than how to build responsive Web applications. We can teach the latter.â€ù",0
3J5XXLQDHMY109INSMRH9O12AZQ3VX,"CanopyÂ â€“ $300/month for shared desk space, $450 dedicated desk, private offices availableÂ â€“ Canopy emphasizes its diverse membership, from startups to public policy workersÂ to social entrepreneurs.Â Right off the Red Line in Davis Square.",1
32TZXEA1OL76WTLTLMCBC5MSZVF14R,Insert links to other pages or uploaded files.,0
33CLA8O0MIY4NEHZ3XN9901WSJHRF0,"Then there's WeWork, the co-working juggernaut, which has over 80,000 members worldwide, with about 2,800 desks in Boston. The New York-based firm intends to open another location downtown early next year and last week announced it is also planning a 550-desk location in Cambridge. There's even 30 co-working desks for the rock climbing set overlooking the Brooklyn Boulders gym in Somerville for $35 a day.",1
3PGQRAZX027MOKY7NCF2OVD8KWQYSS,"If you would like to host an event in our space, please follow this link.",0
30Y6N4AHYPJ7PU33CRSJL0YBG61RDP,"Workbar is located across the street from South Station, the main bus and train terminal and easily accessible for both locals and out of town travelers. Their second location is due to open in Cambridge this March.",0
3LB1BGHFL2JN3KBMCCKSY09UMF4YTH,"Cambridge Coworking CommunityÂ (""C3"")",0
3XDJY5RK5S8M5QCRNAMVN7RPASCU4J,"Vibrant neighborhood community â€“â€“ restaurants, shops, nightlife, and green space",0
3JMNNNO3B1RPUGM9EWI8CGFOBURW2O,"Rates: ""Geek Premium"", dedicated workspace for $475/mo, ""Geek Company"" offers a dedicated cubicle for the boss at $475/Mo, and shared cubicles at $125/mo. for up to 4 employees,Â or sign on as a ""Geek Casual member"" for $75 for three days of office use per month.",1
3R6RZGK0XFZ2GCFBH7K7ZIXFJ0KVYU,"The re-shaping of the American workforce, initiated by changes in technology decades ago, was accelerated by the 2008 recession as companies laid off workers and shifted to contract work. Now, many startups find that co-working space offers them a flexibility to grow, or shrink, without hassling with leases and electric bills. Even established companies are finding that having a foothold in hip urban co-working space like WeWork, helps to appeal to millennials disinclined to take a job in the 'burbs while also allowing their current workers to inhale the buzz.",1
3R0WOCG21MWZ5MVKGLNOQBLVN55UDW,"Usermin is webmail and much more! Usermin provides a full-featured webmail client with encryption, search, spam and antivirus management, mail filters, and folders. Usermin also allows system administrators to grant privileges to users like changing their password, managing databases, managing and editing files, and much more. If just another webmail won't do, Usermin might.",0
